STATE_UT,DISTRICT,YEAR,MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,HURT,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,RAPE_SHARE,KIDNAPPING_SHARE,SOURCE_DATASET,RECORD_ID,YEAR_NORMALIZED,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,MURDER_SHARE,ROBBERY_SHARE,THEFT_SHARE,BURGLARY_SHARE,SERIOUS_VIOLENT_CRIME,CLUSTER
Uttar Pradesh,Allahabad,2014,132,121,40,109,16,330,9,125,381,2245,1673,129,124,511,1,703,53,309,4,355,0,450,3465,9909,830,1175,4433,635,130,0.0837622363507922,0.11857906953274801,0.4473710767988697,0.011000100918357,0.0333030578262185,DATASET_03_2014,Uttar Pradesh_Allahabad_2014,1.0,793,0.011000100918357049,0.03330305782621859,0.013321223130487435,0.012614794631143405,0.22656171157533556,0.0384498940357251,866,0
Uttar Pradesh,Ambedkar Nagar,2014,24,24,10,20,0,59,1,13,22,86,39,37,19,43,0,252,11,16,0,41,0,53,592,1323,88,167,161,62,37,0.06651549508692366,0.12622826908541193,0.12169312169312169,0.0151171579743008,0.0445956160241874,DATASET_03_2014,Uttar Pradesh_Ambedkar Nagar_2014,1.0,77,0.015117157974300832,0.044595616024187455,0.018140589569160998,0.009826152683295541,0.06500377928949358,0.016628873771730914,151,0
Uttar Pradesh,Amethi,2014,36,50,14,27,0,115,0,20,51,113,51,43,19,41,0,384,15,78,0,47,0,133,434,1522,167,340,235,60,43,0.10972404730617609,0.2233902759526938,0.15440210249671485,0.0177398160315374,0.0755584756898817,DATASET_03_2014,Uttar Pradesh_Amethi_2014,1.0,152,0.017739816031537452,0.07555847568988174,0.023653088042049936,0.013140604467805518,0.07424441524310119,0.03350854139290407,262,0
Uttar Pradesh,Amroha,2014,60,63,9,35,0,120,5,44,50,399,192,44,26,140,0,236,23,81,0,224,0,198,991,2826,363,417,690,166,44,0.12845010615711253,0.1475583864118896,0.24416135881104034,0.0123849964614295,0.0424628450106157,DATASET_03_2014,Uttar Pradesh_Amroha_2014,1.0,340,0.012384996461429583,0.04246284501061571,0.021231422505307854,0.01556970983722576,0.14118895966029724,0.017692852087756547,336,0
Uttar Pradesh,Auraiya,2014,34,25,14,21,2,99,3,14,26,165,119,20,28,78,1,14,34,73,0,151,0,175,645,1789,279,283,327,106,21,0.15595304639463387,0.15818893236444942,0.18278367803242035,0.0117384013415315,0.0553381777529346,DATASET_03_2014,Uttar Pradesh_Auraiya_2014,1.0,247,0.011738401341531582,0.0553381777529346,0.019005030743432086,0.007825600894354388,0.092230296254891,0.014533258803801007,210,0
Uttar Pradesh,Azamgarh,2014,68,74,28,42,4,183,1,73,143,387,247,203,53,134,0,626,34,102,0,158,0,263,396,2881,336,571,851,187,203,0.1166261714682402,0.19819507115584867,0.29538354737938216,0.01457827143353,0.0635196112460951,DATASET_03_2014,Uttar Pradesh_Azamgarh_2014,1.0,306,0.014578271433530025,0.0635196112460951,0.023602915654286707,0.025338424158278375,0.13432835820895522,0.04963554321416175,469,0
Uttar Pradesh,Badaun,2014,120,162,33,71,0,164,3,53,50,331,165,9,27,68,2,646,56,148,0,62,0,214,782,2919,337,754,602,95,11,0.11545049674546078,0.2583076396026036,0.20623501199040767,0.0243233984241178,0.0561836245289482,DATASET_03_2014,Uttar Pradesh_Badaun_2014,1.0,281,0.024323398424117848,0.05618362452894827,0.041109969167523124,0.01815690304898938,0.11339499828708462,0.0171291538198013,606,0
Uttar Pradesh,Baghpat,2014,83,84,17,35,0,121,3,45,34,332,184,56,23,61,0,18,14,96,0,90,0,93,533,1844,235,484,598,84,56,0.12744034707158353,0.26247288503253796,0.324295010845987,0.0189804772234273,0.0656182212581344,DATASET_03_2014,Uttar Pradesh_Baghpat_2014,1.0,221,0.01898047722342733,0.06561822125813449,0.045010845986984814,0.02440347071583514,0.18004338394793926,0.01843817787418655,388,0
Uttar Pradesh,Bahraich,2014,53,35,29,68,0,202,0,14,84,258,126,73,39,93,3,338,51,45,0,0,0,131,763,2249,164,446,482,132,76,0.07292129835482436,0.19831036016007114,0.21431747443308136,0.0302356602934637,0.0898176967541129,DATASET_03_2014,Uttar Pradesh_Bahraich_2014,1.0,113,0.03023566029346376,0.08981769675411294,0.023566029346376166,0.006224988883948421,0.11471765228990663,0.037349933303690526,401,0
Uttar Pradesh,Ballia,2014,36,29,7,21,2,116,0,28,80,287,188,113,30,83,1,376,24,71,2,95,0,121,221,1674,213,308,583,113,114,0.12724014336917563,0.18399044205495818,0.3482676224611708,0.0125448028673835,0.069295101553166,DATASET_03_2014,Uttar Pradesh_Ballia_2014,1.0,191,0.012544802867383513,0.06929510155316607,0.021505376344086023,0.016726403823178016,0.17144563918757466,0.04778972520908005,237,0
Uttar Pradesh,Balrampur,2014,28,13,9,19,1,67,1,4,24,68,33,22,13,27,0,89,13,28,0,2,0,17,130,549,62,169,130,40,22,0.11293260473588343,0.30783242258652094,0.23679417122040072,0.0346083788706739,0.122040072859745,DATASET_03_2014,Uttar Pradesh_Balrampur_2014,1.0,50,0.03460837887067395,0.122040072859745,0.051001821493624776,0.007285974499089253,0.12386156648451731,0.04371584699453552,141,0
Uttar Pradesh,Banda,2014,42,59,21,71,0,151,0,25,86,240,119,86,31,65,1,80,39,185,0,96,0,125,352,1948,391,554,470,96,87,0.20071868583162217,0.28439425051334705,0.24127310061601642,0.0364476386036961,0.0775154004106776,DATASET_03_2014,Uttar Pradesh_Banda_2014,1.0,352,0.0364476386036961,0.07751540041067762,0.021560574948665298,0.012833675564681724,0.12320328542094455,0.044147843942505136,369,0
Uttar Pradesh,Barabanki,2014,57,42,11,35,0,65,2,17,29,113,60,3,64,148,0,612,25,51,0,36,0,255,1006,2471,147,280,221,212,3,0.059490084985835696,0.11331444759206799,0.08943747470659652,0.0141643059490084,0.0263051396195872,DATASET_03_2014,Uttar Pradesh_Barabanki_2014,1.0,122,0.014164305949008499,0.026305139619587213,0.023067583974099554,0.006879805746661271,0.045730473492513156,0.011736139214892756,229,0
Uttar Pradesh,Bareilly,2014,132,192,21,76,0,337,4,80,151,886,509,153,147,462,4,360,74,252,0,139,0,247,2633,6589,541,1094,1630,609,157,0.0821065412050387,0.16603429959022614,0.2473820003035362,0.0115343754742753,0.0511458491425102,DATASET_03_2014,Uttar Pradesh_Bareilly_2014,1.0,467,0.011534375474275308,0.05114584914251025,0.02003338898163606,0.012141447867658217,0.13446653513431478,0.022916982850204888,842,0
Uttar Pradesh,Basti,2014,31,8,14,15,0,53,2,11,24,85,42,20,21,19,10,172,15,27,0,40,0,105,107,752,97,161,164,40,30,0.12898936170212766,0.21409574468085107,0.21808510638297873,0.0199468085106383,0.0704787234042553,DATASET_03_2014,Uttar Pradesh_Basti_2014,1.0,82,0.0199468085106383,0.07047872340425532,0.041223404255319146,0.014627659574468085,0.11303191489361702,0.031914893617021274,134,0
Uttar Pradesh,Bijnor,2014,84,63,31,80,0,184,4,59,94,434,181,77,42,203,6,30,26,175,0,0,0,253,1468,3475,281,680,772,245,83,0.08086330935251798,0.19568345323741007,0.22215827338129496,0.0230215827338129,0.0529496402877697,DATASET_03_2014,Uttar Pradesh_Bijnor_2014,1.0,255,0.02302158273381295,0.052949640287769786,0.024172661870503598,0.01697841726618705,0.12489208633093525,0.027050359712230215,505,0
Uttar Pradesh,Bulandshahar,2014,171,213,20,82,1,291,11,122,119,841,483,158,65,17,7,33,55,239,1,0,0,378,1390,4775,377,1149,1576,82,165,0.07895287958115184,0.2406282722513089,0.3300523560209424,0.0171727748691099,0.0609424083769633,DATASET_03_2014,Uttar Pradesh_Bulandshahar_2014,1.0,323,0.01717277486910995,0.06094240837696335,0.03581151832460733,0.02554973821989529,0.1761256544502618,0.02492146596858639,910,0
Uttar Pradesh,Chandoli,2014,20,14,4,26,1,78,0,27,52,156,88,39,39,152,4,413,20,92,0,113,0,103,131,1366,251,261,323,191,43,0.18374816983894582,0.1910688140556369,0.23645680819912152,0.0190336749633967,0.0571010248901903,DATASET_03_2014,Uttar Pradesh_Chandoli_2014,1.0,232,0.01903367496339678,0.05710102489019034,0.014641288433382138,0.019765739385065886,0.11420204978038068,0.03806734992679356,169,0
Uttar Pradesh,Chitrakoot,2014,33,8,8,23,0,46,3,6,62,81,45,12,29,40,3,32,23,56,0,12,0,80,334,988,114,183,197,69,15,0.11538461538461539,0.18522267206477733,0.19939271255060728,0.0232793522267206,0.0465587044534413,DATASET_03_2014,Uttar Pradesh_Chitrakoot_2014,1.0,91,0.02327935222672065,0.0465587044534413,0.03340080971659919,0.006072874493927126,0.08198380566801619,0.06275303643724696,127,0
Uttar Pradesh,Deoria,2014,42,24,19,35,0,137,0,13,55,182,117,81,19,35,5,417,31,68,0,6,0,174,303,1645,140,338,367,54,86,0.0851063829787234,0.20547112462006079,0.2231003039513678,0.0212765957446808,0.0832826747720364,DATASET_03_2014,Uttar Pradesh_Deoria_2014,1.0,109,0.02127659574468085,0.08328267477203648,0.02553191489361702,0.007902735562310031,0.11063829787234042,0.03343465045592705,270,0
Uttar Pradesh,Etah,2014,65,137,10,54,0,172,6,63,66,399,236,110,38,26,1,642,42,114,2,120,0,188,486,2783,332,621,770,64,111,0.11929572403880705,0.2231404958677686,0.2766798418972332,0.0194035213798059,0.0618038088393819,DATASET_03_2014,Uttar Pradesh_Etah_2014,1.0,290,0.019403521379805964,0.06180380883938196,0.02335609054976644,0.022637441609773625,0.1433704635285663,0.023715415019762844,507,0
Uttar Pradesh,Etawah,2014,55,94,5,30,16,136,5,113,65,506,385,26,54,119,9,198,31,80,0,104,0,211,645,2721,245,518,1074,173,35,0.0900404263138552,0.19037118706357956,0.3947078280044101,0.0110253583241455,0.049981624402793,DATASET_03_2014,Uttar Pradesh_Etawah_2014,1.0,230,0.011025358324145534,0.04998162440279309,0.020213156927600145,0.04152884968761485,0.18596104373392136,0.02388827636898199,438,0
Uttar Pradesh,Faizabad,2014,32,31,10,37,0,120,0,25,79,295,156,28,48,138,0,415,13,91,0,8,0,190,850,2426,149,346,555,186,28,0.06141797197032152,0.14262159934047816,0.22877164056059357,0.0152514427040395,0.0494641384995878,DATASET_03_2014,Uttar Pradesh_Faizabad_2014,1.0,136,0.015251442704039572,0.0494641384995878,0.013190436933223413,0.010305028854080791,0.12159934047815334,0.0325638911788953,255,0
Uttar Pradesh,Fatehgarh,2014,58,70,18,19,0,148,4,21,47,230,146,34,20,43,0,12,39,38,0,121,0,132,900,2151,217,376,448,63,34,0.10088331008833101,0.17480241748024175,0.2082752208275221,0.00883310088331,0.0688052068805206,DATASET_03_2014,Uttar Pradesh_Fatehgarh_2014,1.0,178,0.008833100883310088,0.06880520688052069,0.02696420269642027,0.009762900976290097,0.10692701069270107,0.02185030218503022,338,0
