STATE_UT,DISTRICT,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME
Telangana,Medak,6931,698,576
Rajasthan,Ganganagar,6929,1269,623
Andhra Pradesh,ANANTAPUR,6913,592,811
Kerala,KANNUR,6899,603,397
Andhra Pradesh,Guntur,6897,1111,633
Chhattisgarh,DURG,6892,532,595
Andhra Pradesh,KRISHNA,6876,1441,619
Bihar,Nalanda,6871,363,497
Uttar Pradesh,BAREILLY,6860,597,1004
Assam,DHUBRI,6857,1742,1272
Maharashtra,Nasik Rural,6832,716,718
Madhya Pradesh,Betul,6822,996,912
Andhra Pradesh,EAST GODAVARI,6779,1146,652
West Bengal,Purab Medinipur,6778,1288,809
Andhra Pradesh,VISAKHAPATNAM,6775,872,386
Kerala,Kannur,6716,622,443
Madhya Pradesh,Rewa,6678,406,764
Chhattisgarh,Durg,6677,534,732
Rajasthan,JAIPUR WEST,6653,467,465
Rajasthan,Jaipur Rural,6625,532,568
Karnataka,BELGAUM,6594,526,638
Uttar Pradesh,Bareilly,6589,541,1094
Gujarat,Mehsana,6587,318,275
West Bengal,BKP CP,6581,971,622
Delhi UT,NORTH-WEST,6564,742,1351
Kerala,Thrissur Commr.,6548,288,230
Maharashtra,Jalgaon,6531,822,828
Tamil Nadu,THANJAVUR,6510,149,485
Kerala,THRISSUR COMMR.,6485,257,172
Maharashtra,NASIK RURAL,6477,744,668
West Bengal,Malda,6432,1439,1747
Andhra Pradesh,PRAKASHAM,6399,855,623
West Bengal,HOWRAH CITY,6388,897,543
Andhra Pradesh,ADILABAD,6381,872,520
Rajasthan,Pali,6373,985,757
Andhra Pradesh,Prakasham,6367,673,475
Rajasthan,GANGANAGAR,6347,1258,541
Bihar,Vaishali,6337,233,592
West Bengal,Howrah PC,6273,948,672
Tamil Nadu,Dindigul,6250,167,350
Maharashtra,Solapur Rural,6235,471,678
Madhya Pradesh,SATNA,6232,509,546
Tamil Nadu,Thanjavur,6225,101,377
Rajasthan,JAIPUR RURAL,6198,465,433
Madhya Pradesh,DHAR,6164,500,630
Rajasthan,PALI,6152,842,603
Madhya Pradesh,Chhindwara,6149,676,807
Kerala,KOZHIKODE RURAL,6132,579,350
Maharashtra,SATARA,6086,635,913
Maharashtra,Satara,6062,542,821
Karnataka,Shimoga,6043,705,690
Telangana,Adilabad,6036,769,537
Madhya Pradesh,Vidisha,6009,656,767
Kerala,PATHANAMTHITTA,6002,347,332
Haryana,Faridabad,6000,533,734
Delhi UT,SOUTH-WEST,5963,1158,1404
Rajasthan,Jaipur South,5953,371,440
Madhya Pradesh,Morena,5944,400,462
Karnataka,SHIMOGA,5943,619,564
Maharashtra,Navi Mumbai,5903,432,890
Tamil Nadu,TIRUPPUR,5895,166,377
Odisha,DCP CTC,5874,577,684
Tamil Nadu,DINDIGUL,5845,155,352
Madhya Pradesh,Shivpuri,5836,496,713
Tamil Nadu,SALEM RURAL,5832,140,313
Andhra Pradesh,Cuddapah,5803,362,532
Bihar,SAMASTIPUR,5802,191,471
Andhra Pradesh,Guntur Urban,5798,1009,436
West Bengal,Paschim Medinipur,5791,1576,1286
Rajasthan,Nagaur,5743,720,500
Madhya Pradesh,REWA,5741,468,492
Bihar,NALANDA,5740,284,443
Bihar,Purnea,5723,237,396
Bihar,DARBHANGA,5674,419,520
Rajasthan,DAUSA,5673,436,413
Bihar,Samastipur,5664,261,714
Karnataka,BANGALORE RURAL,5663,321,587
Gujarat,Sabarkantha,5647,175,137
Assam,Cachar,5640,740,478
Andhra Pradesh,CHITTOOR,5610,682,351
Haryana,Hissar,5608,484,388
Madhya Pradesh,MORENA,5588,372,471
Bihar,Saran,5586,277,830
Rajasthan,Dausa,5584,426,386
Bihar,VAISHALI,5578,305,589
Karnataka,Bengaluru District,5567,314,610
Madhya Pradesh,Mandsaur,5565,465,521
Maharashtra,JALGAON,5548,765,672
Karnataka,MANDYA,5544,435,531
Madhya Pradesh,Rajgarh,5529,475,528
Tamil Nadu,THOOTHUGUDI,5519,154,484
Bihar,SARAN,5492,201,666
Rajasthan,BHILWARA,5489,896,474
Bihar,Bhojpur,5488,214,591
Gujarat,PALANPUR,5480,538,428
Bihar,Sitamarhi,5453,282,744
Rajasthan,JAIPUR SOUTH,5452,302,317
Rajasthan,Bikaner,5441,763,366
Maharashtra,AMRAVATI RURAL,5440,606,620
Rajasthan,Chittorgarh,5435,894,571
Karnataka,HASSAN,5433,412,508
Haryana,HISSAR,5432,546,483
Andhra Pradesh,WARANGAL,5421,417,449
Kerala,KASARGOD,5401,486,336
Kerala,Kozhikode Rural,5391,590,392
Bihar,SIWAN,5390,177,445
Maharashtra,NAVI MUMBAI,5390,409,739
Andhra Pradesh,Chittoor,5374,556,495
