STATE_UT,DISTRICT,YEAR,MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,HURT,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,RAPE_SHARE,KIDNAPPING_SHARE,SOURCE_DATASET
Gujarat,SURAT COMMR.,2013,99,30,9,76,0,309,11,56,364,1570,941,59,25,187,6,386,2,91,0,491,0,213,20310,24307,660,681,2942,212,65,0.02715267206977414,0.02801662072653968,0.12103509277162958,0.003126671329246719,0.01271238737812153,DATASET_02_2013
Gujarat,SURAT RURAL,2013,46,8,3,19,0,36,16,23,142,449,215,33,20,40,3,147,1,15,0,114,0,368,1754,3242,149,166,845,60,36,0.0459592843923504,0.05120296113510179,0.2606415792720543,0.005860579888957434,0.011104256631708822,DATASET_02_2013
Gujarat,SURENDRANAGAR,2013,32,30,2,18,0,71,9,18,122,303,124,76,36,11,7,382,0,51,7,133,0,224,1286,2822,209,231,576,47,83,0.07406094968107725,0.08185683912119064,0.20411055988660523,0.0063784549964564135,0.025159461374911412,DATASET_02_2013
Gujarat,TAPI,2013,17,2,2,8,0,17,1,2,34,88,37,7,12,14,5,52,0,13,0,12,0,129,406,822,33,62,162,26,12,0.040145985401459854,0.07542579075425791,0.19708029197080293,0.009732360097323601,0.02068126520681265,DATASET_02_2013
Gujarat,VADODARA COMMR.,2013,20,34,2,19,0,82,10,151,422,1221,849,93,20,194,8,367,0,107,7,417,0,175,9433,12786,550,425,2653,214,101,0.0430157985296418,0.033239480681995934,0.2074925699984358,0.0014860003128421711,0.006413264508055686,DATASET_02_2013
Gujarat,VADODARA RURAL,2013,70,13,1,25,0,72,17,17,88,305,217,58,24,26,9,227,0,29,0,110,0,433,1909,3439,164,244,644,50,67,0.0476882814771736,0.07095085780750218,0.1872637394591451,0.007269555103227682,0.020936318697295727,DATASET_02_2013
Gujarat,VALSAD,2013,24,10,0,19,0,73,6,33,224,450,252,36,77,24,3,206,0,33,0,28,0,294,1170,2713,80,198,965,101,39,0.029487652045705862,0.07298193881312201,0.3556948028013269,0.007003317360855142,0.0269074824917066,DATASET_02_2013
Gujarat,W.RLY AHMEDABAD,2013,11,2,0,0,0,7,1,7,7,264,30,2,0,6,0,30,0,2,0,5,0,0,37,381,7,30,309,6,2,0.01837270341207349,0.07874015748031496,0.8110236220472441,0.0,0.01837270341207349,DATASET_02_2013
Gujarat,W.RLY VADODARA,2013,5,1,1,1,0,2,1,7,4,414,15,3,2,2,0,23,0,6,0,0,0,2,47,522,7,24,441,4,3,0.013409961685823755,0.04597701149425287,0.8448275862068966,0.0019157088122605363,0.0038314176245210726,DATASET_02_2013
Haryana,AMBALA RURAL,2013,17,5,1,17,0,67,4,10,92,195,89,0,6,47,4,67,3,32,0,79,0,122,339,1110,131,153,390,53,4,0.11801801801801802,0.13783783783783785,0.35135135135135137,0.015315315315315315,0.06036036036036036,DATASET_02_2013
Haryana,AMBALA URBAN,2013,17,15,2,24,0,159,7,13,394,438,267,3,64,79,6,91,1,48,18,170,0,122,583,2255,261,285,1119,143,9,0.11574279379157427,0.12638580931263857,0.49623059866962305,0.010643015521064302,0.070509977827051,DATASET_02_2013
Haryana,BHIWANI,2013,62,49,0,52,0,169,6,36,411,741,483,174,15,167,24,253,20,97,36,144,0,183,1233,3877,349,471,1677,182,198,0.09001805519731751,0.12148568480784111,0.4325509414495744,0.013412432293010059,0.04359040495228269,DATASET_02_2013
Haryana,FARIDABAD,2013,60,59,3,65,0,155,6,34,392,1763,1495,183,170,53,4,135,22,90,56,255,0,221,1529,5264,488,472,3690,223,187,0.09270516717325228,0.08966565349544073,0.7009878419452887,0.012348024316109422,0.02944528875379939,DATASET_02_2013
