RECORD_ID,STATE/UT,DISTRICT,YEAR,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,YEAR_NORMALIZED
ASSAM_DHEMAJI_2001_1,ASSAM,DHEMAJI,2001,99,99,0.06431852986217458,0.04747320061255743,259,119,25,29,0.39663093415007655,0.18223583460949463,0.022970903522205207,0.018376722817764167,0.0
ASSAM_DHUBRI_2001_1,ASSAM,DHUBRI,2001,277,277,0.028552456839309428,0.045816733067729085,702,234,36,425,0.46613545816733065,0.1553784860557769,0.04316069057104914,0.012616201859229747,0.0
ASSAM_DIBRUGARH_2001_1,ASSAM,DIBRUGARH,2001,155,155,0.02234993614303959,0.03639846743295019,539,482,26,41,0.3441890166028097,0.30779054916985954,0.070242656449553,0.018518518518518517,0.0
ASSAM_G.R.P._2001_1,ASSAM,G.R.P.,2001,4,4,0.0029069767441860465,0.00872093023255814,74,170,1,9,0.21511627906976744,0.4941860465116279,0.0377906976744186,0.046511627906976744,0.0
ASSAM_GOALPARA_2001_1,ASSAM,GOALPARA,2001,197,197,0.04004576659038902,0.04919908466819222,233,227,26,133,0.2665903890160183,0.2597254004576659,0.032036613272311214,0.014874141876430207,0.0
ASSAM_GOLAGHAT_2001_1,ASSAM,GOLAGHAT,2001,123,123,0.02570694087403599,0.037703513281919454,243,346,23,47,0.20822622107969152,0.29648671808054844,0.04541559554413025,0.02313624678663239,0.0
ASSAM_GUWAHATI_CITY_2001_1,ASSAM,GUWAHATI CITY,2001,336,336,0.008459076360310928,0.029492455418381344,1264,1074,131,169,0.2889803383630544,0.24554183813443073,0.01623228166438043,0.016689529035208046,0.0
ASSAM_HAILAKANDI_2001_1,ASSAM,HAILAKANDI,2001,117,117,0.029232643118148598,0.0438489646772229,250,199,20,179,0.30450669914738127,0.24238733252131547,0.02192448233861145,0.0097442143727162,0.0
ASSAM_JORHAT_2001_1,ASSAM,JORHAT,2001,173,173,0.03526448362720403,0.031066330814441646,255,306,49,43,0.2141057934508816,0.25692695214105793,0.033585222502099076,0.022670025188916875,0.0
ASSAM_KAMRUP_2001_1,ASSAM,KAMRUP,2001,187,187,0.010437375745526839,0.04721669980119284,575,542,77,61,0.28578528827037775,0.26938369781312127,0.018389662027833,0.020377733598409543,0.0
ASSAM_KARBI_ANGLONG_2001_1,ASSAM,KARBI ANGLONG,2001,60,60,0.006925207756232687,0.05263157894736842,283,137,15,114,0.39196675900277006,0.18975069252077562,0.09002770083102493,0.045706371191135735,0.0
ASSAM_KARIMGANJ_2001_1,ASSAM,KARIMGANJ,2001,115,115,0.03909952606635071,0.04976303317535545,396,184,19,288,0.46919431279620855,0.21800947867298578,0.037914691943127965,0.005924170616113744,0.0
ASSAM_KOKRAJHAR_2001_1,ASSAM,KOKRAJHAR,2001,112,112,0.018018018018018018,0.05276705276705277,331,155,15,56,0.425997425997426,0.1994851994851995,0.11196911196911197,0.01287001287001287,0.0
ASSAM_LAKHIMPUR_2001_1,ASSAM,LAKHIMPUR,2001,251,251,0.035955056179775284,0.04044943820224719,587,381,96,106,0.3297752808988764,0.2140449438202247,0.014606741573033709,0.026404494382022473,0.0
ASSAM_MORIGAON_2001_1,ASSAM,MORIGAON,2001,96,96,0.031420765027322405,0.05327868852459016,149,175,12,84,0.20355191256830601,0.2390710382513661,0.0273224043715847,0.01366120218579235,0.0
ASSAM_N.C.HILLS_2001_1,ASSAM,N.C.HILLS,2001,19,19,0.010638297872340425,0.0425531914893617,57,56,11,7,0.30319148936170215,0.2978723404255319,0.09042553191489362,0.026595744680851064,0.0
ASSAM_NAGAON_2001_1,ASSAM,NAGAON,2001,420,416,0.015922572588198562,0.037152669372463316,933,871,73,308,0.29128941617233844,0.2719325632219794,0.02965969403684046,0.010302841086481423,0.0
ASSAM_NALBARI_2001_1,ASSAM,NALBARI,2001,117,117,0.02510460251046025,0.04435146443514645,330,269,35,25,0.27615062761506276,0.22510460251046024,0.06610878661087866,0.032635983263598324,0.0
ASSAM_R.P.O._2001_1,ASSAM,R.P.O.,2001,5,5,0.029411764705882353,0.0196078431372549,26,45,1,13,0.2549019607843137,0.4411764705882353,0.10784313725490197,0.0196078431372549,0.0
ASSAM_SIBSAGAR_2001_1,ASSAM,SIBSAGAR,2001,139,139,0.028588807785888078,0.038929440389294405,460,388,48,71,0.2798053527980535,0.2360097323600973,0.035888077858880776,0.024939172749391728,0.0
ASSAM_SONITPUR_2001_1,ASSAM,SONITPUR,2001,283,283,0.022943722943722943,0.03766233766233766,669,579,44,117,0.2896103896103896,0.2506493506493506,0.03722943722943723,0.00909090909090909,0.0
ASSAM_TINSUKIA_2001_1,ASSAM,TINSUKIA,2001,135,135,0.029667149059334298,0.04486251808972504,419,519,22,23,0.3031837916063676,0.3755426917510854,0.07742402315484805,0.02532561505065123,0.0
BIHAR_ARARIA_2001_1,BIHAR,ARARIA,2001,236,236,0.04492753623188406,0.03816425120772947,506,323,73,378,0.24444444444444444,0.15603864734299516,0.022705314009661835,0.02077294685990338,0.0
BIHAR_ARWAL_2001_1,BIHAR,ARWAL,2001,45,45,0.0,0.02195945945945946,395,57,16,90,0.6672297297297297,0.09628378378378379,0.0625,0.013513513513513514,0.0
BIHAR_AURANGABAD_2001_1,BIHAR,AURANGABAD,2001,107,105,0.009461856889414548,0.014192785334121822,328,287,43,158,0.19396806623299823,0.16972205795387343,0.04376108811354228,0.01655824955647546,0.0
BIHAR_BAGAHA_2001_1,BIHAR,BAGAHA,2001,87,87,0.027382256297918947,0.06133625410733844,532,132,16,73,0.5826944140197152,0.14457831325301204,0.03723986856516977,0.009857612267250822,0.0
BIHAR_BANKA_2001_1,BIHAR,BANKA,2001,86,86,0.024513338139870222,0.01946647440519106,356,212,7,200,0.25666906993511174,0.1528478731074261,0.06705118961788031,0.028118240807498196,0.0
BIHAR_BEGUSARAI_2001_1,BIHAR,BEGUSARAI,2001,140,140,0.00494484594903005,0.020159756561430202,485,426,52,153,0.18448079117535185,0.16203879802206161,0.04716622289844047,0.025484975275770254,0.0
BIHAR_BETTIAH_2001_1,BIHAR,BETTIAH,2001,206,198,0.007150518412584912,0.03003217733285663,1309,398,69,361,0.4680014301036825,0.14229531641043977,0.02359671076153021,0.01144082946013586,0.0
BIHAR_BHABHUA_2001_1,BIHAR,BHABHUA,2001,90,90,0.007304601899196494,0.031409788166544925,373,340,31,207,0.2724616508400292,0.2483564645726808,0.029948867786705625,0.018991964937910884,0.0
BIHAR_BHAGALPUR_2001_1,BIHAR,BHAGALPUR,2001,188,188,0.013282732447817837,0.025047438330170778,442,574,70,184,0.16774193548387098,0.21783681214421252,0.04857685009487666,0.020872865275142316,0.0
BIHAR_BHOJPUR_2001_1,BIHAR,BHOJPUR,2001,124,120,0.007837548984681154,0.016387602422515142,972,409,31,240,0.34627716423227645,0.1457071606697542,0.04809405058781618,0.017456359102244388,0.0
BIHAR_BUXAR_2001_1,BIHAR,BUXAR,2001,57,57,0.004776119402985075,0.020298507462686566,356,338,57,207,0.21253731343283583,0.2017910447761194,0.03343283582089552,0.020298507462686566,0.0
BIHAR_DARBHANGA_2001_1,BIHAR,DARBHANGA,2001,169,169,0.007384376214535562,0.015157403808783521,300,234,108,159,0.11659541391371939,0.09094442285270113,0.020598523124757094,0.014380101049358725,0.0
