state_name,district,STATE_UT,DISTRICT,YEAR,TARGET_YEAR,PREDICTED_WOMEN_CRIME_SHARE_CLIPPED,PREDICTED_RISK_BAND,TOTAL_IPC,GIS_EXACT_MATCH
Chhattisgarh,Raigarh,Chhattisgarh,RAIGARH,2013,2014,0.0890263135855364,HIGH,3350,True
Chhattisgarh,Raipur,Chhattisgarh,RAIPUR,2013,2014,0.0551839313271445,MEDIUM,8907,True
Chhattisgarh,Rajnandgaon,Chhattisgarh,RAJNANDGAON,2013,2014,0.0544822039171906,MEDIUM,2866,True
Chhattisgarh,Narayanpur,Chhattisgarh,NARAYANPUR,2013,2014,0.0663977152619297,MEDIUM,189,True
Chhattisgarh,Sukma,Chhattisgarh,SUKMA,2013,2014,0.047004765083132,LOW,213,True
Chhattisgarh,Kondagaon,Chhattisgarh,KONDAGAON,2013,2014,0.0796931914053986,MEDIUM,619,True
Chhattisgarh,Gariyaband,Chhattisgarh,GARIYABAND,2013,2014,0.0860037645285858,HIGH,866,True
Chhattisgarh,Balod,Chhattisgarh,BALOD,2013,2014,0.0816315077106553,MEDIUM,1215,True
Chhattisgarh,Surajpur,Chhattisgarh,SURAJPUR,2013,2014,0.1162591535198431,HIGH,1646,True
Chhattisgarh,Balrampur,Chhattisgarh,BALRAMPUR,2013,2014,0.1385293709967443,HIGH,1115,True
Chandigarh,Chandigarh,Chandigarh,CHANDIGARH,2013,2014,0.0652800210531852,MEDIUM,4077,True
Goa,North Goa,Goa,NORTH GOA,2013,2014,0.0724065472629094,MEDIUM,2595,True
Goa,South Goa,Goa,SOUTH GOA,2013,2014,0.0703588501178715,MEDIUM,1717,True
Gujarat,Amreli,Gujarat,AMRELI,2013,2014,0.0962894970784746,HIGH,2229,True
Gujarat,Anand,Gujarat,ANAND,2013,2014,0.0795716050117307,MEDIUM,2816,True
Gujarat,Bharuch,Gujarat,BHARUCH,2013,2014,0.049082475952362,LOW,2756,True
Gujarat,Bhavnagar,Gujarat,BHAVNAGAR,2013,2014,0.0723877593151927,MEDIUM,4410,True
Gujarat,Gandhinagar,Gujarat,GANDHINAGAR,2013,2014,0.0616438643677399,MEDIUM,6933,True
Gujarat,Jamnagar,Gujarat,JAMNAGAR,2013,2014,0.1384252968424435,HIGH,4247,True
Gujarat,Junagadh,Gujarat,JUNAGADH,2013,2014,0.1418564462742553,HIGH,4099,True
Gujarat,Narmada,Gujarat,NARMADA,2013,2014,0.0530363805322851,MEDIUM,727,True
Gujarat,Navsari,Gujarat,NAVSARI,2013,2014,0.0722553180845595,MEDIUM,1737,True
Gujarat,Patan,Gujarat,PATAN,2013,2014,0.0745389862193464,MEDIUM,3677,True
Gujarat,Porbandar,Gujarat,PORBANDAR,2013,2014,0.1166583449672005,HIGH,838,True
Gujarat,Surendranagar,Gujarat,SURENDRANAGAR,2013,2014,0.0829539723846382,MEDIUM,2822,True
Gujarat,Valsad,Gujarat,VALSAD,2013,2014,0.0378858760233258,LOW,2713,True
Gujarat,Tapi,Gujarat,TAPI,2013,2014,0.0398094249775995,LOW,822,True
Himachal Pradesh,Bilaspur,Himachal Pradesh,BILASPUR,2013,2014,0.0785834991245424,MEDIUM,1131,True
Himachal Pradesh,Chamba,Himachal Pradesh,CHAMBA,2013,2014,0.0874124763001107,HIGH,694,True
Himachal Pradesh,Hamirpur,Himachal Pradesh,HAMIRPUR,2013,2014,0.0979331839156729,HIGH,873,True
Himachal Pradesh,Kangra,Himachal Pradesh,KANGRA,2013,2014,0.0787205938525674,MEDIUM,2884,True
Himachal Pradesh,Kinnaur,Himachal Pradesh,KINNAUR,2013,2014,0.1046196141228124,HIGH,173,True
Himachal Pradesh,Kullu,Himachal Pradesh,KULLU,2013,2014,0.0841774912024904,MEDIUM,1009,True
Himachal Pradesh,Mandi,Himachal Pradesh,MANDI,2013,2014,0.0750505450877072,MEDIUM,1831,True
Himachal Pradesh,Shimla,Himachal Pradesh,SHIMLA,2013,2014,0.0785419789227235,MEDIUM,1652,True
Himachal Pradesh,Sirmaur,Himachal Pradesh,SIRMAUR,2013,2014,0.1071459819099247,HIGH,814,True
Himachal Pradesh,Solan,Himachal Pradesh,SOLAN,2013,2014,0.0759721439928513,MEDIUM,885,True
Himachal Pradesh,Una,Himachal Pradesh,UNA,2013,2014,0.1097195340450782,HIGH,1076,True
Haryana,Bhiwani,Haryana,BHIWANI,2013,2014,0.089265752303939,HIGH,3877,True
Haryana,Faridabad,Haryana,FARIDABAD,2013,2014,0.0986707852453265,HIGH,5264,True
Haryana,Fatehabad,Haryana,FATEHABAD,2013,2014,0.1355515496831942,HIGH,1974,True
Haryana,Jhajjar,Haryana,JHAJJAR,2013,2014,0.0957047730413565,HIGH,2028,True
Haryana,Jind,Haryana,JIND,2013,2014,0.0997258542901293,HIGH,2923,True
Haryana,Kaithal,Haryana,KAITHAL,2013,2014,0.074331154653892,MEDIUM,1805,True
Haryana,Karnal,Haryana,KARNAL,2013,2014,0.0941473544761721,HIGH,4302,True
Haryana,Kurukshetra,Haryana,KURUKSHETRA,2013,2014,0.0309518355470375,LOW,2635,True
Haryana,Panchkula,Haryana,PANCHKULA,2013,2014,0.0678064098081507,MEDIUM,1790,True
Haryana,Panipat,Haryana,PANIPAT,2013,2014,0.0802309656429913,MEDIUM,3299,True
Haryana,Rewari,Haryana,REWARI,2013,2014,0.0945155744500227,HIGH,2703,True
Haryana,Rohtak,Haryana,ROHTAK,2013,2014,0.0980780071925921,HIGH,3103,True
Haryana,Sirsa,Haryana,SIRSA,2013,2014,0.1015225223893396,HIGH,2825,True
Haryana,Sonipat,Haryana,SONIPAT,2013,2014,0.0450708742065317,LOW,3570,True
Haryana,Yamunanagar,Haryana,YAMUNANAGAR,2013,2014,0.0593278278787197,MEDIUM,2541,True
Haryana,Palwal,Haryana,PALWAL,2013,2014,0.1307823659265794,HIGH,2747,True
Jharkhand,Bokaro,Jharkhand,BOKARO,2013,2014,0.108859636673438,HIGH,3634,True
Jharkhand,Chatra,Jharkhand,CHATRA,2013,2014,0.0798009683271574,MEDIUM,1062,True
Jharkhand,Deoghar,Jharkhand,DEOGHAR,2013,2014,0.1691004557946571,HIGH,2394,True
Jharkhand,Dhanbad,Jharkhand,DHANBAD,2013,2014,0.0731447465018548,MEDIUM,4768,True
Jharkhand,Dumka,Jharkhand,DUMKA,2013,2014,0.0919927288870299,HIGH,1817,True
Jharkhand,Garhwa,Jharkhand,GARHWA,2013,2014,0.1252398163338612,HIGH,2688,True
Jharkhand,Giridih,Jharkhand,GIRIDIH,2013,2014,0.1220301716197,HIGH,4378,True
Jharkhand,Godda,Jharkhand,GODDA,2013,2014,0.0624784574321723,MEDIUM,1800,True
Jharkhand,Gumla,Jharkhand,GUMLA,2013,2014,0.1050304660345504,HIGH,929,True
Jharkhand,Hazaribagh,Jharkhand,HAZARIBAGH,2013,2014,0.0909216007760649,HIGH,2719,True
Jharkhand,Jamtara,Jharkhand,JAMTARA,2013,2014,0.1660021868427976,HIGH,1255,True
Jharkhand,Koderma,Jharkhand,KODERMA,2013,2014,0.0807621127435369,MEDIUM,1736,True
Jharkhand,Latehar,Jharkhand,LATEHAR,2013,2014,0.103242693762249,HIGH,698,True
Jharkhand,Pakur,Jharkhand,PAKUR,2013,2014,0.1871649575542393,HIGH,1139,True
Jharkhand,Palamu,Jharkhand,PALAMU,2013,2014,0.0706722753709472,MEDIUM,2228,True
Jharkhand,Ranchi,Jharkhand,RANCHI,2013,2014,0.0676636905627547,MEDIUM,2860,True
Jharkhand,Sahebganj,Jharkhand,SAHEBGANJ,2013,2014,0.1467816989224617,HIGH,1938,True
Jharkhand,Simdega,Jharkhand,SIMDEGA,2013,2014,0.0947048980149121,HIGH,513,True
Jharkhand,Khunti,Jharkhand,KHUNTI,2013,2014,0.0916927778565239,HIGH,382,True
Jharkhand,Ramgarh,Jharkhand,RAMGARH,2013,2014,0.1020148909127074,HIGH,1213,True
Jammu & Kashmir,Anantnag,Jammu & Kashmir,ANANTNAG,2013,2014,0.1185796410263877,HIGH,1426,True
Jammu & Kashmir,Budgam,Jammu & Kashmir,BUDGAM,2013,2014,0.0525679952919604,MEDIUM,1218,True
Jammu & Kashmir,Baramulla,Jammu & Kashmir,BARAMULLA,2013,2014,0.1135827473088271,HIGH,1457,True
Jammu & Kashmir,Doda,Jammu & Kashmir,DODA,2013,2014,0.1061217346363123,HIGH,874,True
Jammu & Kashmir,Jammu,Jammu & Kashmir,JAMMU,2013,2014,0.0505340290984663,LOW,4547,True
Jammu & Kashmir,Kathua,Jammu & Kashmir,KATHUA,2013,2014,0.0696094943585963,MEDIUM,1178,True
Jammu & Kashmir,Kupwara,Jammu & Kashmir,KUPWARA,2013,2014,0.1011863650338769,HIGH,790,True
Jammu & Kashmir,Poonch,Jammu & Kashmir,POONCH,2013,2014,0.1044614588730057,HIGH,806,True
Jammu & Kashmir,Pulwama,Jammu & Kashmir,PULWAMA,2013,2014,0.1052721609883222,HIGH,429,True
