STATE_UT,DISTRICT,YEAR,TOTAL_IPC,GIS_EXACT_MATCH
Gujarat,Panchmahal,2014,2634,False
Gujarat,Patan,2014,2117,True
Gujarat,Porbandar,2014,913,True
Gujarat,Rajkot City,2014,3516,False
Gujarat,Rajkot Rural,2014,2891,False
Gujarat,Sabarkantha,2014,5647,False
Gujarat,Surat City,2014,4397,False
Gujarat,Surat Rural,2014,3810,False
Gujarat,Surendranagar,2014,2476,True
Gujarat,Tapi,2014,986,True
Gujarat,Vadodara City,2014,12651,False
Gujarat,Vadodara Rural,2014,2896,False
Gujarat,Valsad,2014,3072,True
Gujarat,W.Rly  Ahmedabad,2014,454,False
Gujarat,W.Rly Vadodara,2014,657,False
Haryana,Ambala (Rural),2014,1098,False
Haryana,Ambala (Urban),2014,1977,False
Haryana,Bhiwani,2014,4604,True
Haryana,Faridabad,2014,6000,True
Haryana,Fatehabad,2014,2431,True
Haryana,G. R. P.,2014,1139,False
Haryana,Gurgaon,2014,11444,False
Haryana,Hissar,2014,5608,False
Haryana,Irrigation & Power,2014,192,False
Haryana,Jhajjar,2014,2100,True
Haryana,Jind,2014,2892,True
Haryana,Kaithal,2014,1922,True
Haryana,Karnal,2014,4047,True
Haryana,Kurukshetra,2014,2581,True
Haryana,Mahendergarh,2014,2262,False
Haryana,Mewat,2014,2414,False
Haryana,Palwal,2014,3247,True
Haryana,Panchkula,2014,1594,True
Haryana,Panipat,2014,4654,True
Haryana,Rewari,2014,2781,True
Haryana,Rohtak,2014,3820,True
Haryana,Sirsa,2014,3482,True
Haryana,Sonipat,2014,4311,True
Haryana,Yamunanagar,2014,3347,True
Himachal Pradesh,Baddi,2014,651,False
Himachal Pradesh,Bilaspur,2014,1185,True
Himachal Pradesh,C. I. D.,2014,4,False
Himachal Pradesh,Chamba,2014,761,True
Himachal Pradesh,G. R. P.,2014,9,False
Himachal Pradesh,Hamirpur,2014,845,True
Himachal Pradesh,Kangra,2014,2698,True
Himachal Pradesh,Kinnaur,2014,211,True
Himachal Pradesh,Kullu,2014,914,True
Himachal Pradesh,Lahaul & Spiti,2014,84,False
