STATE_UT,DISTRICT,YEAR,TOTAL_IPC
Maharashtra,Bhandara,2014,2003
Maharashtra,Buldhana,2014,4453
Maharashtra,Chandrapur,2014,4441
Maharashtra,Dhule,2014,2818
Maharashtra,Gadchiroli,2014,875
Maharashtra,Gondia,2014,1836
Maharashtra,Hingoli,2014,1761
Maharashtra,Jalgaon,2014,6531
Maharashtra,Jalna,2014,3372
Maharashtra,Kolhapur,2014,4942
Maharashtra,Latur,2014,4070
Maharashtra,Nanded,2014,4600
Maharashtra,Nandurbar,2014,1425
Maharashtra,Osmanabad,2014,2825
Maharashtra,Palghar,2014,4692
Maharashtra,Parbhani,2014,3606
Maharashtra,Raigad,2014,2601
Maharashtra,Ratnagiri,2014,1568
Maharashtra,Sangli,2014,5171
Maharashtra,Satara,2014,6062
Maharashtra,Sindhudurg,2014,789
Maharashtra,Wardha,2014,3687
Maharashtra,Washim,2014,2579
Maharashtra,Yavatmal,2014,9951
Manipur,Bishnupur,2014,307
Manipur,Chandel,2014,70
Manipur,Churachandpur,2014,130
Manipur,Imphal East,2014,645
Manipur,Imphal West,2014,1417
Manipur,Senapati,2014,121
Manipur,Tamenglong,2014,125
Manipur,Thoubal,2014,768
Manipur,Ukhrul,2014,58
Meghalaya,Ri-Bhoi,2014,360
Mizoram,Aizawl,2014,1059
Mizoram,Champhai,2014,238
Mizoram,Kolasib,2014,263
Mizoram,Lawngtlai,2014,98
Mizoram,Lunglei,2014,175
Mizoram,Mamit,2014,116
Mizoram,Saiha,2014,73
Mizoram,Serchhip,2014,98
Nagaland,Dimapur,2014,512
Nagaland,Kiphire,2014,13
Nagaland,Kohima,2014,199
Nagaland,Longleng,2014,15
Nagaland,Mokokchung,2014,67
Nagaland,Mon,2014,39
Nagaland,Peren,2014,19
Nagaland,Phek,2014,75
Nagaland,Tuensang,2014,48
Nagaland,Wokha,2014,90
Nagaland,Zunheboto,2014,80
Odisha,Bhadrak,2014,2807
Odisha,Boudh,2014,596
Odisha,Cuttack,2014,2594
Odisha,Deogarh,2014,901
Odisha,Dhenkanal,2014,2000
Odisha,Gajapati,2014,460
Odisha,Ganjam,2014,2580
Odisha,Jharsuguda,2014,1431
Odisha,Kalahandi,2014,2039
Odisha,Kandhamal,2014,1089
Odisha,Kendrapara,2014,2244
Odisha,Koraput,2014,1357
Odisha,Malkangiri,2014,420
Odisha,Mayurbhanj,2014,2793
Odisha,Nabarangpur,2014,1695
Odisha,Nayagarh,2014,1487
Odisha,Nuapada,2014,1175
Odisha,Puri,2014,4317
Odisha,Rayagada,2014,1199
Odisha,Sambalpur,2014,3391
Odisha,Sonepur,2014,724
Odisha,Sundargarh,2014,1655
Puducherry,Karaikal,2014,671
Punjab,Barnala,2014,791
Punjab,Bathinda,2014,2117
Punjab,Faridkot,2014,673
Punjab,Fatehgarh Sahib,2014,920
Punjab,Fazilka,2014,877
Punjab,Ferozepur,2014,1300
Punjab,Gurdaspur,2014,781
Punjab,Hoshiarpur,2014,1637
Punjab,Kapurthala,2014,1105
Punjab,Mansa,2014,793
Punjab,Moga,2014,1172
Punjab,Pathankot,2014,582
Punjab,Patiala,2014,2774
Punjab,Sangrur,2014,1935
Punjab,Tarn Taran,2014,1171
Rajasthan,Ajmer,2014,9197
Rajasthan,Alwar,2014,12742
Rajasthan,Banswara,2014,2789
Rajasthan,Baran,2014,4515
Rajasthan,Barmer,2014,4388
Rajasthan,Bharatpur,2014,10231
Rajasthan,Bhilwara,2014,7353
Rajasthan,Bikaner,2014,5441
Rajasthan,Bundi,2014,3823
Rajasthan,Chittorgarh,2014,5435
Rajasthan,Churu,2014,3847
Rajasthan,Dausa,2014,5584
Rajasthan,Dholpur,2014,4395
Rajasthan,Dungarpur,2014,2678
Rajasthan,Ganganagar,2014,6929
Rajasthan,Hanumangarh,2014,5021
Rajasthan,Jaisalmer,2014,1478
Rajasthan,Jalore,2014,2971
Rajasthan,Jhalawar,2014,4666
Rajasthan,Jhunjhunu,2014,5277
Rajasthan,Karauli,2014,4612
Rajasthan,Nagaur,2014,5743
Rajasthan,Pali,2014,6373
Rajasthan,Rajsamand,2014,2790
Rajasthan,Sawai Madhopur,2014,4212
Rajasthan,Sikar,2014,6994
Rajasthan,Sirohi,2014,2342
Rajasthan,Tonk,2014,4663
Rajasthan,Udaipur,2014,9868
Tamil Nadu,Ariyalur,2014,1615
Tamil Nadu,Chennai,2014,16861
Tamil Nadu,Coimbatore,2014,4996
Tamil Nadu,Cuddalore,2014,9442
Tamil Nadu,Dharmapuri,2014,4354
Tamil Nadu,Dindigul,2014,6250
