CRIME_STATE,CRIME_DISTRICT,TOTAL_IPC,CANDIDATE_RANK,GIS_STATE,GIS_DISTRICT,SIMILARITY_SCORE
Jammu & Kashmir,Railways Jammu,16,3,Jammu & Kashmir,Baramulla,34.78
Jammu & Kashmir,Railways Kashmir,13,1,Jammu & Kashmir,Reasi,38.1
Jammu & Kashmir,Railways Kashmir,13,2,Jammu & Kashmir,Pulwama,34.78
Jammu & Kashmir,Railways Kashmir,13,3,Jammu & Kashmir,Srinagar,33.33
Jammu & Kashmir,Railways Katra,6,1,Jammu & Kashmir,Kathua,40.0
Jammu & Kashmir,Railways Katra,6,2,Jammu & Kashmir,Pulwama,38.1
Jammu & Kashmir,Railways Katra,6,3,Jammu & Kashmir,Srinagar,36.36
Jammu & Kashmir,Sopore,634,1,Jammu & Kashmir,Shopian,46.15
Jammu & Kashmir,Sopore,634,2,Jammu & Kashmir,Bandipora,40.0
Jammu & Kashmir,Sopore,634,3,Jammu & Kashmir,Reasi,36.36
Jharkhand,Chaibasa,954,1,Jharkhand,Chatra,57.14
Jharkhand,Chaibasa,954,2,Jharkhand,Hazaribagh,55.56
Jharkhand,Chaibasa,954,3,Jharkhand,Dhanbad,53.33
Jharkhand,Dhanbad Railway,365,1,Jharkhand,Dhanbad,63.64
Jharkhand,Dhanbad Railway,365,2,Jharkhand,Saraikela Kharsawan,41.18
Jharkhand,Dhanbad Railway,365,3,Jharkhand,Chatra,38.1
Jharkhand,Jamshedpur,3985,1,Jharkhand,Jamtara,47.06
Jharkhand,Jamshedpur,3985,2,Jharkhand,Pakur,40.0
Jharkhand,Jamshedpur,3985,3,Jharkhand,Palamu,37.5
Jharkhand,Jamshedpur Railway,188,1,Jharkhand,Jamtara,40.0
Jharkhand,Jamshedpur Railway,188,2,Jharkhand,Saraikela Kharsawan,37.84
Jharkhand,Jamshedpur Railway,188,3,Jharkhand,Garhwa,33.33
Jharkhand,Lohardagga,536,1,Jharkhand,Lohardaga,94.74
Jharkhand,Lohardagga,536,2,Jharkhand,Chatra,50.0
Jharkhand,Lohardagga,536,3,Jharkhand,Hazaribagh,50.0
Jharkhand,Saraikela,1108,1,Jharkhand,Saraikela Kharsawan,64.29
Jharkhand,Saraikela,1108,2,Jharkhand,Lohardaga,44.44
Jharkhand,Saraikela,1108,3,Jharkhand,Chatra,40.0
Karnataka,Bagalkot,2131,1,Karnataka,Bagalkote,94.12
Karnataka,Bagalkot,2131,2,Karnataka,Belagavi,50.0
Karnataka,Bagalkot,2131,3,Karnataka,Ballari,40.0
Karnataka,Belagavi City,2396,1,Karnataka,Belagavi,76.19
Karnataka,Belagavi City,2396,2,Karnataka,Bagalkote,45.45
Karnataka,Belagavi City,2396,3,Karnataka,Ballari,40.0
Karnataka,Belagavi District,4851,1,Karnataka,Belagavi,64.0
Karnataka,Belagavi District,4851,2,Karnataka,Ballari,41.67
Karnataka,Belagavi District,4851,3,Karnataka,Bagalkote,38.46
