MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,YEAR,NEXT_YEAR_WOMEN_CRIME_SHARE,TARGET_YEAR,STATE_UT,DISTRICT,REPORTING_UNIT_KEY,TEST_ROW_ID,PREDICTED_WOMEN_CRIME_SHARE,PREDICTED_WOMEN_CRIME_SHARE_CLIPPED,ABSOLUTE_ERROR,STATE_KEY,DISTRICT_KEY,GIS_EXACT_MATCH,GIS_MATCH_TYPE,GIS_MAPPED_STATE_KEY,GIS_MAPPED_DISTRICT_KEY,GIS_MAPPED,PREDICTED_RISK_BAND
85,67,2,123,0,96,5,19,490,1090,311,20,57,446,40,16,342,245,855,0,575,1456,8498,1581,739,1915,503,60,0.1860437750058837,2013,0.1562865839381877,2014,Andhra Pradesh,WEST GODAVARI,ANDHRA_PRADESH_TELANGANA_FAMILY||WEST GODAVARI,94,0.1255455887559848,0.1255455887559848,0.0307409951822028,ANDHRA PRADESH TELANGANA,WEST GODAVARI,True,EXACT,ANDHRA PRADESH TELANGANA,WEST GODAVARI,True,HIGH
2,0,0,0,0,0,0,1,2,6,0,0,0,1,0,0,0,0,0,0,6,5,28,0,3,9,1,0,0.0,2013,0.0344827586206896,2014,Arunachal Pradesh,ANJAW,ARUNACHAL PRADESH||ANJAW,97,0.011592893146515,0.011592893146515,0.0228898654741745,ARUNACHAL PRADESH,ANJAW,False,UNMATCHED,,,False,LOW
4,2,0,5,0,11,3,9,15,32,3,4,3,5,1,0,2,0,1,0,4,64,189,8,36,62,8,5,0.0423280423280423,2013,0.0333333333333333,2014,Arunachal Pradesh,CHANGLANG,ARUNACHAL PRADESH||CHANGLANG,100,0.0425510551026933,0.0425510551026933,0.00921772176936,ARUNACHAL PRADESH,CHANGLANG,False,UNMATCHED,,,False,LOW
2,4,0,0,0,2,0,5,10,17,3,1,1,1,1,0,2,0,0,0,6,26,91,2,15,35,2,2,0.0219780219780219,2013,0.25,2014,Arunachal Pradesh,DIBANG VALLEY,ARUNACHAL PRADESH||DIBANG VALLEY,103,0.006427281569701,0.006427281569701,0.2435727184302989,ARUNACHAL PRADESH,DIBANG VALLEY,False,UNMATCHED,,,False,LOW
5,4,0,2,0,16,3,0,12,22,0,2,0,3,0,0,6,0,0,0,4,33,169,8,36,37,3,2,0.0473372781065088,2013,0.0472972972972973,2014,Arunachal Pradesh,KAMENG EAST,ARUNACHAL PRADESH||KAMENG EAST,108,0.0543820449042102,0.0543820449042102,0.0070847476069129,ARUNACHAL PRADESH,KAMENG EAST,False,UNMATCHED,,,False,MEDIUM
8,0,0,2,0,3,2,2,14,35,12,1,2,1,0,0,0,0,0,0,10,78,164,2,17,65,3,1,0.0121951219512195,2013,0.0785714285714285,2014,Arunachal Pradesh,KAMENG WEST,ARUNACHAL PRADESH||KAMENG WEST,111,0.0126970690567718,0.0126970690567718,0.0658743595146566,ARUNACHAL PRADESH,KAMENG WEST,False,UNMATCHED,,,False,LOW
12,4,0,10,0,29,3,9,18,57,14,7,1,2,2,0,10,0,2,0,18,85,330,22,77,101,3,9,0.0666666666666666,2013,0.075,2014,Arunachal Pradesh,LOHIT,ARUNACHAL PRADESH||LOHIT,114,0.0690196304609018,0.0690196304609018,0.0059803695390981,ARUNACHAL PRADESH,LOHIT,False,UNMATCHED,,,False,MEDIUM
2,1,0,1,0,3,0,0,6,11,0,0,0,1,0,0,2,0,0,0,2,26,78,3,9,17,1,0,0.0384615384615384,2013,0.0652173913043478,2014,Arunachal Pradesh,LONGDING,ARUNACHAL PRADESH||LONGDING,115,0.0418273914481319,0.0418273914481319,0.0233899998562158,ARUNACHAL PRADESH,LONGDING,False,UNMATCHED,,,False,LOW
6,0,0,10,0,6,1,7,17,61,11,2,0,5,0,0,6,0,1,0,14,47,217,17,36,97,5,2,0.0783410138248847,2013,0.1469387755102041,2014,Arunachal Pradesh,SIANG EAST,ARUNACHAL PRADESH||SIANG EAST,122,0.0795449219023554,0.0795449219023554,0.0673938536078486,ARUNACHAL PRADESH,SIANG EAST,False,UNMATCHED,,,False,MEDIUM
3,1,0,0,0,2,0,2,5,12,1,0,2,1,1,0,4,0,0,0,2,15,69,4,12,20,3,1,0.0579710144927536,2013,0.05,2014,Arunachal Pradesh,SIANG UPPER,ARUNACHAL PRADESH||SIANG UPPER,125,0.0360180972571286,0.0360180972571286,0.0139819027428713,ARUNACHAL PRADESH,SIANG UPPER,False,UNMATCHED,,,False,LOW
