STATE/UT,DISTRICT,YEAR,NEXT_YEAR,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,WOMEN_CRIME_SHARE,VIOLENT_CRIME,SERIOUS_VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,TOTAL IPC CRIMES,YEAR_NORMALIZED,NEXT_YEAR_WOMEN_CRIME_SHARE
ANDHRA PRADESH,MAHABOOBNAGAR,2001,2002,401,360,0.0122406639004149,0.008713692946058,0.0831950207468879,1301,277,600,106,157,0.2699170124481327,0.1244813278008298,0.0325726141078838,0.0056016597510373,4819,0.0,0.1198879551820728
ANDHRA PRADESH,MEDAK,2001,2002,404,379,0.0099065949617888,0.0073591848287574,0.1143504104160769,1662,195,558,108,137,0.4704217378998018,0.1579394282479479,0.0285876026040192,0.0073591848287574,3532,0.0,0.1237823711095272
ANDHRA PRADESH,NALGONDA,2001,2002,554,495,0.0069958025184889,0.0053967619428342,0.1107335598640815,1563,211,485,143,292,0.3124125524685189,0.0969418348990605,0.0243853687787327,0.0055966420147911,5002,0.0,0.1196371196371196
ANDHRA PRADESH,NELLORE,2001,2002,868,640,0.0087685855890202,0.0171559283263438,0.1654593976362943,1395,179,880,200,162,0.2659168890583301,0.1677468547464735,0.0169653069004956,0.0030499428135722,5245,0.0,0.1610379698530814
ANDHRA PRADESH,NIZAMABAD,2001,2002,376,361,0.0057979017117614,0.0104914411927112,0.1038100496963003,1625,191,421,184,81,0.4486471562672556,0.116234124792932,0.0292655991165102,0.0060739922694643,3621,0.0,0.1027614305115436
ANDHRA PRADESH,PRAKASHAM,2001,2002,414,314,0.0051644468605599,0.0084262027724925,0.1125305789616743,1605,201,454,105,181,0.436259853220984,0.1234030986681163,0.027724925251427,0.0038053818972546,3678,0.0,0.1028320043992301
ANDHRA PRADESH,RANGA REDDY,2001,2002,811,749,0.0072963113092825,0.010741791649777,0.0821848398865018,3297,403,2474,597,132,0.3341102553708958,0.2507093635995135,0.0216862586137008,0.0079043372517227,9867,0.0,0.0894086579270018
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,2002,2,1,0.0,0.0,0.0045454545454545,34,16,308,31,1,0.0772727272727272,0.7,0.0136363636363636,0.0227272727272727,439,0.0,0.0
ANDHRA PRADESH,SRIKAKULAM,2001,2002,219,172,0.0031092110376991,0.0046638165565487,0.0851146521570151,805,56,354,71,104,0.3128643606684804,0.1375825884181888,0.0147687524290711,0.0015546055188495,2572,0.0,0.0876558102131081
ANDHRA PRADESH,VIJAYAWADA,2001,2002,823,701,0.0037125037125037,0.0103950103950103,0.1222156222156222,1726,129,2578,658,36,0.2563112563112563,0.3828333828333828,0.0078705078705078,0.004009504009504,6733,0.0,0.1405768383971818
