STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,RECORD_ID,RECORD_OCCURRENCE,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,WOMEN_CRIME_SHARE,VIOLENT_CRIME,SERIOUS_VIOLENT_CRIME,PROPERTY_CRIME,THEFT_SHARE,BURGLARY_SHARE,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,YEAR_NORMALIZED,TEMPORAL_KEY,NEXT_YEAR_WOMEN_CRIME_TOTAL,NEXT_YEAR_WOMEN_CRIME_SHARE,NEXT_YEAR_TOTAL_IPC_CRIMES,NEXT_YEAR,WOMEN_CRIME_CHANGE,WOMEN_CRIME_CHANGE_PCT,WOMEN_SHARE_CHANGE,TOTAL_IPC_CHANGE
ANDHRA PRADESH,RANGA REDDY,2001,214,95,16,72,0,72,106,83,23,24,3,78,1076,1296,347,949,65,67,527,3,67,2829,37,113,55,421,7,593,2103,9867,ANDHRA_PRADESH_RANGA_REDDY_2001_1,1,811,749,0.0072963113092825,0.010741791649777,0.0821848398865018,3297,403,2474,0.1313336035670855,0.1090393190109444,597,132,0.3341102553708958,0.2507093635995135,0.0216862586137008,0.0079043372517227,0.0,"('ANDHRA PRADESH', 'RANGA REDDY', 2001)",948,0.0894086579270018,10602,2002,137,16.892725030826142,0.007223818040499999,735
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,0,0,0,0,0,0,0,0,10,2,296,0,296,1,2,4,25,0,17,1,0,1,0,0,6,68,439,ANDHRA_PRADESH_SECUNDERABAD_RLY._2001_1,1,2,1,0.0,0.0,0.0045454545454545,34,16,308,0.6727272727272727,0.0045454545454545,31,1,0.0772727272727272,0.7,0.0136363636363636,0.0227272727272727,0.0,"('ANDHRA PRADESH', 'SECUNDERABAD RLY.', 2001)",0,0.0,444,2002,-2,-100.0,-0.0045454545454545,5
ANDHRA PRADESH,SRIKAKULAM,2001,38,10,4,8,0,8,12,12,0,1,0,4,118,231,1,230,70,18,53,0,34,679,6,38,47,108,0,167,926,2572,ANDHRA_PRADESH_SRIKAKULAM_2001_1,1,219,172,0.0031092110376991,0.0046638165565487,0.0851146521570151,805,56,354,0.0897784687135639,0.0458608628060629,71,104,0.3128643606684804,0.1375825884181888,0.0147687524290711,0.0015546055188495,0.0,"('ANDHRA PRADESH', 'SRIKAKULAM', 2001)",218,0.0876558102131081,2486,2002,-1,-0.45662100456621,0.002541158056093007,-86
ANDHRA PRADESH,VIJAYAWADA,2001,53,44,5,25,0,25,70,48,22,3,0,27,491,2057,264,1793,19,34,614,10,17,1578,2,84,122,520,0,234,724,6733,ANDHRA_PRADESH_VIJAYAWADA_2001_1,1,823,701,0.0037125037125037,0.0103950103950103,0.1222156222156222,1726,129,2578,0.3054648054648055,0.0729135729135729,658,36,0.2563112563112563,0.3828333828333828,0.0078705078705078,0.004009504009504,0.0,"('ANDHRA PRADESH', 'VIJAYAWADA', 2001)",1277,0.1405768383971818,9083,2002,454,55.1640340218712,0.0183612161815596,2350
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,1,0,1,0,0,0,0,0,1,0,265,0,265,1,2,3,6,0,9,0,1,1,0,0,2,25,320,ANDHRA_PRADESH_VIJAYAWADA_RLY._2001_1,1,3,2,0.0031152647975077,0.0,0.0093457943925233,14,4,266,0.8255451713395638,0.0,11,1,0.043613707165109,0.8286604361370716,0.0062305295950155,0.0031152647975077,0.0,"('ANDHRA PRADESH', 'VIJAYAWADA RLY.', 2001)",6,0.0145985401459854,410,2002,3,100.0,0.0052527457534621,90
ANDHRA PRADESH,VISAKHA RURAL,2001,58,29,0,12,0,12,12,12,0,4,0,3,76,165,0,165,138,19,39,3,31,1476,3,67,48,99,0,216,685,3183,ANDHRA_PRADESH_VISAKHA_RURAL_2001_1,1,241,193,0.0037688442211055,0.0037688442211055,0.0756909547738693,1704,90,248,0.051821608040201,0.0238693467336683,61,169,0.535175879396985,0.0778894472361809,0.01821608040201,0.0009422110552763,0.0,"('ANDHRA PRADESH', 'VISAKHA RURAL', 2001)",214,0.0801498127340823,2669,2002,-27,-11.20331950207469,0.004458857960212989,-514
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,10,1,13,0,13,13,6,7,1,0,5,323,630,172,458,9,37,192,3,15,325,0,33,462,204,0,196,928,3422,ANDHRA_PRADESH_VISAKHAPATNAM_2001_1,1,725,263,0.0037978381536663,0.0037978381536663,0.2118025124160093,372,38,959,0.1840490797546012,0.0943616710487876,232,24,0.1086765994741454,0.280163599182004,0.0064271107215892,0.0014607069821793,0.0,"('ANDHRA PRADESH', 'VISAKHAPATNAM', 2001)",307,0.108136667840789,2838,2002,-418,-57.655172413793096,-0.10366584457522031,-584
ANDHRA PRADESH,VIZIANAGARAM,2001,33,14,1,8,0,8,8,2,6,0,0,2,99,144,0,144,36,11,41,2,12,529,0,40,22,121,0,175,880,2178,ANDHRA_PRADESH_VIZIANAGARAM_2001_1,1,199,177,0.0036714089031665,0.0036714089031665,0.0913262964662689,615,50,245,0.0660853602569986,0.0454336851766865,54,48,0.2822395594309316,0.1124368976594768,0.0151445617255621,0.0009178522257916,0.0,"('ANDHRA PRADESH', 'VIZIANAGARAM', 2001)",275,0.1130291820797369,2432,2002,76,38.19095477386934,0.021702885613468004,254
ANDHRA PRADESH,WARANGAL,2001,158,79,5,53,0,53,81,25,56,2,0,23,266,418,79,339,330,6,137,2,0,1718,52,241,0,165,0,269,2314,6319,ANDHRA_PRADESH_WARANGAL_2001_1,1,592,592,0.008386075949367,0.0128164556962025,0.0936708860759493,2313,265,709,0.0661392405063291,0.0420886075949367,145,330,0.3659810126582278,0.1121835443037974,0.025,0.0036392405063291,0.0,"('ANDHRA PRADESH', 'WARANGAL', 2001)",538,0.0840887777430447,6397,2002,-54,-9.121621621621621,-0.009582108332904599,78
ANDHRA PRADESH,WEST GODAVARI,2001,77,58,1,61,0,61,41,21,20,7,0,15,257,1116,74,1042,96,63,270,2,32,972,15,246,56,348,0,354,1609,5696,ANDHRA_PRADESH_WEST_GODAVARI_2001_1,1,767,711,0.0107073898543092,0.0071967702299455,0.1346322625943479,1219,151,1395,0.1958925750394944,0.0451114621730735,335,128,0.2139722661049675,0.244865718799368,0.0135158855538002,0.0026329647182727,0.0,"('ANDHRA PRADESH', 'WEST GODAVARI', 2001)",868,0.1431870669745958,6061,2002,101,13.168187744458931,0.008554804380247888,365
