State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
Uttar Pradesh,76,Varanasi,2015.0,79.0,39.0,183.0,27.0,163.0,0.0,0.0,0.0,10.0,246.0,0.0,0.0,0.0,1.0,748.0
Uttarakhand,1,Almora,2015.0,6.0,1.0,21.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Uttarakhand,2,Bageshwar,2015.0,7.0,0.0,10.0,2.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
Uttarakhand,3,Chamoli,2015.0,4.0,0.0,21.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Uttarakhand,4,Champawat,2015.0,4.0,0.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Uttarakhand,5,Dehradun,2015.0,57.0,3.0,26.0,11.0,71.0,1.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,343.0
Uttarakhand,6,Haridwar,2015.0,75.0,5.0,76.0,13.0,88.0,2.0,64.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,332.0
Uttarakhand,7,Nainital,2015.0,32.0,1.0,28.0,4.0,48.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,138.0
Uttarakhand,8,Pauri Garhwal,2015.0,4.0,0.0,24.0,3.0,12.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,48.0
Uttarakhand,9,Pithoragarh,2015.0,0.0,0.0,7.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0
Uttarakhand,10,Rudra Prayag,2015.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
